PB15660@wilsonmoraes@1D8AA8E2-408D-4946-87FF-52849F80DEC5@bezos em 4.05.CRETA.1.82
13/11/2024 13:41:44: Acessou https://jefvirtual.jfpb.jus.br/cretapb/login.wsp
13/11/2024 13:43:51: Logou https://jefvirtual.jfpb.jus.br/cretapb/consulta/processo/pesquisar_geral.wsp?consulta.processo.tp_link=consulta
13/11/2024 13:44:13: Total: 2361
13/11/2024 13:44:19:  0504947-33.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:44:20:  0505291-14.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:44:20:  0500558-05.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:44:20:  0510569-35.2018.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:44:21:  0507640-87.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:44:21:  0507638-20.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:44:21:  0507271-93.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:44:22:  0505540-62.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:44:23:  0505735-47.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:44:23:  0503468-05.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:44:34:  0500088-71.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:44:34:  0504963-84.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:44:34:  0507021-02.2018.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:44:35:  0502698-51.2018.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:44:35:  0504829-57.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:44:35:  0504951-70.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:44:35:  0504936-04.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:44:35:  0508799-07.2018.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:44:35:  0508953-25.2018.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:44:36:  0508966-24.2018.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:44:57:  0505637-04.2018.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:44:57:  0508461-33.2018.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:44:57:  0504524-15.2018.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:44:58:  0505835-41.2018.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:44:58:  0507635-65.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:44:58:  0507656-75.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:44:58:  0513347-75.2018.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:44:59:  0501382-61.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:44:59:  0509151-23.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:44:59:  0520402-72.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:45:10:  0509067-22.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:45:10:  0507132-49.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:45:10:  0500319-98.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:45:10:  0506350-08.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:45:11:  0512822-93.2018.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:45:13:  0504917-03.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:45:14:  0505653-55.2018.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:45:14:  0513479-35.2018.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:45:16:  0517695-73.2017.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:45:17:  0509258-67.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:45:29:  0510247-10.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:45:30:  0508734-75.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:45:30:  0508429-23.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:45:30:  0507442-50.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:45:30:  0503685-82.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:45:30:  0515467-28.2017.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:45:30:  0507142-88.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:45:30:  0510339-56.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:45:30:  0502417-56.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:45:30:  0507910-14.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:45:41:  0513748-69.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:45:41:  0505282-52.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:45:41:  0505797-24.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:45:41:  0508873-22.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:45:41:  0515185-53.2018.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:45:42:  0518522-45.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:45:42:  0503403-10.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:45:42:  0507157-57.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:45:42:  0500264-50.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:45:42:  0509950-66.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:00:  0512528-36.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:00:  0500469-16.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:00:  0500518-23.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:00:  0514069-07.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
